model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_1709,adj,adv,5,0.01,12,0.6956521739130435,0.5824175824175825
smolm-autoreg-bpe-seed_1709,n,adv,3,0.001,24,0.8695652173913043,0.8461538461538461
smolm-autoreg-bpe-seed_1709,adj,adv,2,0.01,11,0.6956521739130435,0.6153846153846154
smolm-autoreg-bpe-seed_1709,adj,adv,4,0.01,10,0.6739130434782609,0.5714285714285714
smolm-autoreg-bpe-seed_1709,adj,v,5,0.01,2,0.88,0.83
smolm-autoreg-bpe-seed_1709,n,v,1,0.01,6,0.92,0.9
smolm-autoreg-bpe-seed_1709,adj,adv,3,0.01,10,0.6847826086956522,0.5824175824175825
smolm-autoreg-bpe-seed_1709,adv,v,2,0.01,7,0.9565217391304348,0.8131868131868132
smolm-autoreg-bpe-seed_1709,n,adj,4,0.001,60,0.83,0.77
smolm-autoreg-bpe-seed_1709,adv,v,3,0.01,7,0.9021739130434783,0.7692307692307693
smolm-autoreg-bpe-seed_1709,n,v,3,0.001,56,0.9,0.87
smolm-autoreg-bpe-seed_1709,n,adj,5,0.001,65,0.81,0.77
smolm-autoreg-bpe-seed_1709,n,adv,4,0.01,4,0.8478260869565217,0.8681318681318682
smolm-autoreg-bpe-seed_1709,adv,v,1,0.01,5,0.8913043478260869,0.8021978021978022
smolm-autoreg-bpe-seed_1709,adj,v,1,0.01,2,0.91,0.89
smolm-autoreg-bpe-seed_1709,n,v,2,0.001,68,0.9,0.88
smolm-autoreg-bpe-seed_1709,n,v,5,0.01,9,0.92,0.89
smolm-autoreg-bpe-seed_1709,n,adj,3,0.01,7,0.87,0.78
smolm-autoreg-bpe-seed_1709,adj,v,4,0.01,18,0.88,0.83
smolm-autoreg-bpe-seed_1709,adv,v,4,0.01,7,0.967391304347826,0.7802197802197802
smolm-autoreg-bpe-seed_1709,n,adj,1,0.001,68,0.82,0.76
smolm-autoreg-bpe-seed_1709,n,adj,2,0.001,66,0.83,0.77
smolm-autoreg-bpe-seed_1709,n,v,4,0.01,7,0.91,0.91
smolm-autoreg-bpe-seed_1709,adj,adv,1,0.01,11,0.6847826086956522,0.6593406593406593
smolm-autoreg-bpe-seed_1709,adv,v,5,0.01,7,0.9565217391304348,0.7802197802197802
smolm-autoreg-bpe-seed_1709,n,adv,2,0.001,25,0.8586956521739131,0.8351648351648352
smolm-autoreg-bpe-seed_1709,n,adv,5,0.01,5,0.8586956521739131,0.8681318681318682
smolm-autoreg-bpe-seed_1709,adj,v,2,0.01,12,0.87,0.87
smolm-autoreg-bpe-seed_1709,adj,v,3,0.01,13,0.87,0.87
smolm-autoreg-bpe-seed_1709,n,adv,1,0.01,5,0.8695652173913043,0.8901098901098901
